User ID Date Description Credit (Rs.) Debit (Rs.) Balance (Rs.)
"IN04 0001 2345 6789 03/01/2024 Uber Ride 461.64 44,738.36"
"IN04 0001 2345 6789 07/08/2024 Amazon Purchase 337.39 5,856.12"
"IN04 0001 2345 6789 07/08/2024 Myntra Order 408.52 5,447.60"
"IN04 0001 2345 6789 07/08/2024 NEFT Inward 360.43 5,087.17"
"IN04 0001 2345 6789 08/08/2024 Insurance Premium 378.44 4,708.73"
"IN04 0001 2345 6789 08/08/2024 Netflix Subscription 908.66 3,800.07"
"IN04 0001 2345 6789 08/08/2024 Uber Ride 1,987.37 1,812.70"
"IN04 0001 2345 6789 09/08/2024 Insurance Premium 206.33 1,606.37"
"IN04 0001 2345 6789 11/08/2024 NEFT Outward 275.48 1,330.89"
"IN04 0001 2345 6789 11/08/2024 Insurance Premium 201.53 1,129.36"
IN04 0001 2345 6789 12/08/2024 Zomato Order 741.31 388.05
IN04 0001 2345 6789 12/08/2024 Loan Repayment 96.10 291.95
IN04 0001 2345 6789 13/08/2024 Life Insurance 100.75 191.20
IN04 0001 2345 6789 14/08/2024 Postpaid Bill 36.99 154.21
IN04 0001 2345 6789 15/08/2024 Airport Cab 47.62 106.59
IN04 0001 2345 6789 16/08/2024 Broadband Bill 123.17 -16.58
IN04 0001 2345 6789 16/08/2024 Amazon Purchase 152.51 -169.09
IN04 0001 2345 6789 19/08/2024 RD Installment 85.53 -254.62
IN04 0001 2345 6789 19/08/2024 Hospital Bill 18.89 -273.51
IN04 0001 2345 6789 20/08/2024 Myntra Order 109.02 -382.53
"IN04 0001 2345 6789 20/08/2024 Rental Income 8,406.30 8,023.77"
"IN04 0001 2345 6789 20/08/2024 Bus Booking 1,927.02 6,096.75"
"IN04 0001 2345 6789 21/08/2024 Hospital Bill 460.03 5,636.72"
"IN04 0001 2345 6789 22/08/2024 Netflix Subscription 109.83 5,526.89"
"IN04 0001 2345 6789 22/08/2024 Broadband Bill 345.15 5,181.74"
"IN04 0001 2345 6789 23/08/2024 Freelance Payment 42,519.68 47,701.42"
"IN04 0001 2345 6789 23/08/2024 Car Insurance 1,545.09 46,156.33"
"IN04 0001 2345 6789 23/08/2024 Insurance Premium 6,825.18 39,331.15"
"IN04 0001 2345 6789 24/08/2024 Refund - Amazon 4,317.44 43,648.59"
"IN04 0001 2345 6789 24/08/2024 UPI Received 23,021.31 20,627.28"
"IN04 0001 2345 6789 24/08/2024 IRCTC Ticket 3,720.65 16,906.63"
"IN04 0001 2345 6789 26/08/2024 DTH Recharge 2,354.47 14,552.16"
"IN04 0001 2345 6789 26/08/2024 Broadband Bill 222.47 14,329.69"
"IN04 0001 2345 6789 28/08/2024 Bus Booking 741.43 13,588.26"
"IN04 0001 2345 6789 29/08/2024 Broadband Bill 409.42 13,178.84"
"IN04 0001 2345 6789 29/08/2024 EMI Debit 3,215.00 9,963.84"
"IN04 0001 2345 6789 31/08/2024 Cashback Credit 1,787.94 11,751.78"
"IN04 0001 2345 6789 01/09/2024 Ola Ride 482.01 11,269.77"
"IN04 0001 2345 6789 02/09/2024 DTH Recharge 849.06 10,420.71"
"IN04 0001 2345 6789 04/09/2024 Credit Card Payment 674.38 9,746.33"
"IN04 0001 2345 6789 05/09/2024 Cash Deposit 616.49 9,129.84"
"IN04 0001 2345 6789 05/09/2024 Internet Bill 434.60 8,695.24"
"IN04 0001 2345 6789 05/09/2024 FD Opening 557.13 8,138.11"
"IN04 0001 2345 6789 06/09/2024 Salary Credit 28,280.59 36,418.70"
"IN04 0001 2345 6789 06/09/2024 Mutual Fund SIP 3,316.06 33,102.64"
"IN04 0001 2345 6789 07/09/2024 Amazon Purchase 9,302.12 23,800.52"
"IN04 0001 2345 6789 07/09/2024 Bonus Credit 39,703.37 63,503.89"
"IN04 0001 2345 6789 09/09/2024 Refund - Flipkart 1,641.56 65,145.45"
"IN04 0001 2345 6789 09/09/2024 PPF Contribution 7,967.62 57,177.83"
"IN04 0001 2345 6789 09/09/2024 Restaurant Bill 330.47 56,847.36"
"IN04 0001 2345 6789 10/09/2024 Mobile Recharge 805.87 56,041.49"
"IN04 0001 2345 6789 10/09/2024 Electricity Bill 1,313.94 54,727.55"
"IN04 0001 2345 6789 11/09/2024 PPF Contribution 26,376.03 28,351.52"
"IN04 0001 2345 6789 11/09/2024 Gas Bill 1,926.97 26,424.55"
"IN04 0001 2345 6789 11/09/2024 Gym Membership 8,234.51 18,190.04"
"IN04 0001 2345 6789 12/09/2024 ATM Withdrawal 1,042.49 17,147.55"
"IN04 0001 2345 6789 12/09/2024 Myntra Order 1,598.69 15,548.86"
"IN04 0001 2345 6789 13/09/2024 Lab Test 912.19 14,636.67"
"IN04 0001 2345 6789 13/09/2024 Refund - Flipkart 1,700.14 16,336.81"
"IN04 0001 2345 6789 13/09/2024 NEFT Outward 36,686.51 53,023.32"
"IN04 0001 2345 6789 14/09/2024 DTH Recharge 3,573.29 49,450.03"
"IN04 0001 2345 6789 14/09/2024 Myntra Order 8,472.05 40,977.98"
"IN04 0001 2345 6789 14/09/2024 Cash Deposit 16,357.10 24,620.88"
"IN04 0001 2345 6789 16/09/2024 Rental Income 6,367.29 30,988.17"
"IN04 0001 2345 6789 16/09/2024 Hospital Bill 19,028.27 11,959.90"
"IN04 0001 2345 6789 16/09/2024 Prime Video 368.00 11,591.90"
"IN04 0001 2345 6789 17/09/2024 Electricity Bill 1,549.38 10,042.52"
"IN04 0001 2345 6789 20/09/2024 Refund - Flipkart 3,006.37 13,048.89"
"IN04 0001 2345 6789 20/09/2024 Water Bill 986.15 12,062.74"
"IN04 0001 2345 6789 21/09/2024 Broadband Bill 160.21 11,902.53"
"IN04 0001 2345 6789 22/09/2024 ATM Withdrawal 721.14 11,181.39"
"IN04 0001 2345 6789 22/09/2024 Credit Card Payment 613.53 10,567.86"
"IN04 0001 2345 6789 23/09/2024 Gym Membership 575.26 9,992.60"
"IN04 0001 2345 6789 24/09/2024 FD Opening 605.18 9,387.42"
"IN04 0001 2345 6789 24/09/2024 Hotel Booking 631.61 8,755.81"
"IN04 0001 2345 6789 24/09/2024 Gas Bill 355.68 8,400.13"
"IN04 0001 2345 6789 25/09/2024 Car Insurance 449.50 7,950.63"
"IN04 0001 2345 6789 25/09/2024 Insurance Premium 4,633.41 3,317.22"
"IN04 0001 2345 6789 25/09/2024 EMI Debit 347.87 2,969.35"
"IN04 0001 2345 6789 26/09/2024 Term Plan 1,829.85 1,139.50"
IN04 0001 2345 6789 27/09/2024 Term Plan 243.76 895.74
IN04 0001 2345 6789 28/09/2024 Restaurant Bill 99.58 796.16
IN04 0001 2345 6789 28/09/2024 Myntra Order 110.36 685.80
IN04 0001 2345 6789 28/09/2024 Myntra Order 70.43 615.37
"IN04 0001 2345 6789 29/09/2024 GST Refund 3,495.56 4,110.93"
"IN04 0001 2345 6789 29/09/2024 Internet Bill 2,298.15 1,812.78"
"IN04 0001 2345 6789 03/10/2024 Uber Ride 238.81 1,573.97"
"IN04 0001 2345 6789 03/10/2024 Bonus Credit 13,339.01 14,912.98"
"IN04 0001 2345 6789 04/10/2024 Fuel - HPCL 409.45 14,503.53"
"IN04 0001 2345 6789 04/10/2024 Metro Card Recharge 1,934.91 12,568.62"
"IN04 0001 2345 6789 05/10/2024 Amazon Purchase 733.40 11,835.22"
"IN04 0001 2345 6789 05/10/2024 Salary Credit 52,396.62 64,231.84"
"IN04 0001 2345 6789 05/10/2024 NEFT Outward 28,798.06 93,029.90"
"IN04 0001 2345 6789 07/10/2024 Bus Pass 1,278.87 91,751.03"
"IN04 0001 2345 6789 07/10/2024 ATM Withdrawal 10,707.95 81,043.08"
"IN04 0001 2345 6789 08/10/2024 Meesho 8,252.41 72,790.67"
"IN04 0001 2345 6789 08/10/2024 Credit Card Payment 17,070.41 55,720.26"
"IN04 0001 2345 6789 09/10/2024 Term Plan 1,131.25 54,589.01"
"IN04 0001 2345 6789 09/10/2024 IRCTC Ticket 7,833.41 46,755.60"
"IN04 0001 2345 6789 09/10/2024 Grocery - BigBasket 1,988.22 44,767.38"
"IN04 0001 2345 6789 10/10/2024 Ola Ride 2,325.93 42,441.45"
"IN04 0001 2345 6789 10/10/2024 Broadband Bill 285.91 42,155.54"
"IN04 0001 2345 6789 11/10/2024 Rental Income 66,013.16 108,168.70"
"IN04 0001 2345 6789 11/10/2024 Internet Bill 4,906.01 103,262.69"
"IN04 0001 2345 6789 12/10/2024 ATM Withdrawal 16,324.20 86,938.49"
"IN04 0001 2345 6789 12/10/2024 Mall Shopping 747.36 86,191.13"
"IN04 0001 2345 6789 12/10/2024 Ola Ride 2,383.77 83,807.36"
"IN04 0001 2345 6789 14/10/2024 Cashback Credit 2,601.15 86,408.51"
"IN04 0001 2345 6789 14/10/2024 Term Plan 4,173.05 82,235.46"
"IN04 0001 2345 6789 15/10/2024 Lab Test 17,256.56 64,978.90"
"IN04 0001 2345 6789 17/10/2024 Pharmacy Purchase 16,006.91 48,971.99"
"IN04 0001 2345 6789 17/10/2024 Airport Cab 22,376.24 26,595.75"
"IN04 0001 2345 6789 18/10/2024 Spotify Premium 794.18 25,801.57"
"IN04 0001 2345 6789 18/10/2024 FD Opening 1,398.74 24,402.83"
"IN04 0001 2345 6789 18/10/2024 EMI Debit 1,245.14 23,157.69"
"IN04 0001 2345 6789 19/10/2024 Rental Income 29,090.86 52,248.55"
"IN04 0001 2345 6789 21/10/2024 Cash Deposit 6,476.67 45,771.88"
"IN04 0001 2345 6789 21/10/2024 UPI Received 6,832.46 38,939.42"
"IN04 0001 2345 6789 22/10/2024 Grocery - BigBasket 1,567.94 37,371.48"
"IN04 0001 2345 6789 22/10/2024 IRCTC Ticket 19,292.24 18,079.24"
"IN04 0001 2345 6789 22/10/2024 EMI Debit 3,176.19 14,903.05"
"IN04 0001 2345 6789 23/10/2024 Hotstar 1,221.34 13,681.71"
"IN04 0001 2345 6789 23/10/2024 ATM Withdrawal 721.21 12,960.50"
"IN04 0001 2345 6789 23/10/2024 UPI Received 1,585.00 14,545.50"
"IN04 0001 2345 6789 24/10/2024 Prime Video 1,429.20 13,116.30"
"IN04 0001 2345 6789 24/10/2024 Cafe Coffee Day 451.32 12,664.98"
"IN04 0001 2345 6789 25/10/2024 BookMyShow 720.96 11,944.02"
"IN04 0001 2345 6789 25/10/2024 Meesho 2,237.89 9,706.13"
"IN04 0001 2345 6789 25/10/2024 Prime Video 539.45 9,166.68"
"IN04 0001 2345 6789 26/10/2024 Ola Ride 126.44 9,040.24"
"IN04 0001 2345 6789 26/10/2024 Internet Bill 2,636.95 6,403.29"
"IN04 0001 2345 6789 28/10/2024 Loan Repayment 370.93 6,032.36"
"IN04 0001 2345 6789 28/10/2024 IMPS Transfer 349.65 5,682.71"
"IN04 0001 2345 6789 29/10/2024 Insurance Premium 464.88 5,217.83"
"IN04 0001 2345 6789 30/10/2024 Myntra Order 405.70 4,812.13"
"IN04 0001 2345 6789 30/10/2024 Dividend Credit 26,777.17 31,589.30"
"IN04 0001 2345 6789 30/10/2024 Hospital Bill 14,265.00 17,324.30"
"IN04 0001 2345 6789 31/10/2024 Loan Repayment 899.27 16,425.03"
"IN04 0001 2345 6789 01/11/2024 EMI Debit 7,865.35 8,559.68"
"IN04 0001 2345 6789 02/11/2024 Grocery - BigBasket 1,420.73 7,138.95"
"IN04 0001 2345 6789 02/11/2024 Prime Video 1,224.93 5,914.02"
"IN04 0001 2345 6789 02/11/2024 Freelance Payment 50,896.13 56,810.15"
"IN04 0001 2345 6789 05/11/2024 Airport Cab 15,913.16 40,896.99"
"IN04 0001 2345 6789 05/11/2024 Loan Repayment 24,876.84 16,020.15"
"IN04 0001 2345 6789 07/11/2024 Netflix Subscription 729.41 15,290.74"
"IN04 0001 2345 6789 08/11/2024 DTH Recharge 3,234.99 12,055.75"
"IN04 0001 2345 6789 08/11/2024 Water Bill 2,219.83 9,835.92"
"IN04 0001 2345 6789 11/11/2024 Hospital Bill 3,323.14 6,512.78"
"IN04 0001 2345 6789 12/11/2024 Hotstar 1,352.79 5,159.99"
"IN04 0001 2345 6789 14/11/2024 Bus Pass 859.63 4,300.36"
"IN04 0001 2345 6789 14/11/2024 Cash Deposit 242.77 4,057.59"
"IN04 0001 2345 6789 15/11/2024 NEFT Inward 349.80 3,707.79"
"IN04 0001 2345 6789 16/11/2024 Insurance Premium 200.78 3,507.01"
"IN04 0001 2345 6789 16/11/2024 Cafe Coffee Day 720.47 2,786.54"
"IN04 0001 2345 6789 17/11/2024 Credit Card Payment 270.74 2,515.80"
"IN04 0001 2345 6789 18/11/2024 Cashback Credit 3,227.44 5,743.24"
"IN04 0001 2345 6789 18/11/2024 Gym Membership 450.56 5,292.68"
"IN04 0001 2345 6789 18/11/2024 IRCTC Ticket 405.47 4,887.21"
"IN04 0001 2345 6789 19/11/2024 RD Installment 293.12 4,594.09"
"IN04 0001 2345 6789 20/11/2024 BookMyShow 1,127.61 3,466.48"
"IN04 0001 2345 6789 21/11/2024 Hotel Booking 281.17 3,185.31"
"IN04 0001 2345 6789 21/11/2024 Myntra Order 192.54 2,992.77"
"IN04 0001 2345 6789 22/11/2024 Uber Ride 335.59 2,657.18"
"IN04 0001 2345 6789 22/11/2024 Gym Membership 222.30 2,434.88"
"IN04 0001 2345 6789 22/11/2024 Life Insurance 309.16 2,125.72"
"IN04 0001 2345 6789 23/11/2024 Uber Ride 1,519.88 605.84"
"IN04 0001 2345 6789 23/11/2024 Bonus Credit 42,406.98 43,012.82"
"IN04 0001 2345 6789 24/11/2024 Mutual Fund SIP 4,957.43 38,055.39"
"IN04 0001 2345 6789 24/11/2024 Bus Booking 13,879.75 24,175.64"
"IN04 0001 2345 6789 25/11/2024 Bus Pass 1,091.04 23,084.60"
"IN04 0001 2345 6789 27/11/2024 PPF Contribution 1,288.54 21,796.06"
"IN04 0001 2345 6789 27/11/2024 FD Opening 1,260.77 20,535.29"
"IN04 0001 2345 6789 28/11/2024 Gas Bill 3,664.79 16,870.50"
"IN04 0001 2345 6789 28/11/2024 Loan Repayment 11,612.18 5,258.32"
"IN04 0001 2345 6789 28/11/2024 Flight Ticket - IndiGo 309.90 4,948.42"
"IN04 0001 2345 6789 29/11/2024 Mall Shopping 402.66 4,545.76"
"IN04 0001 2345 6789 29/11/2024 Health Insurance 259.86 4,285.90"
"IN04 0001 2345 6789 01/12/2024 BookMyShow 880.52 3,405.38"
"IN04 0001 2345 6789 01/12/2024 Spotify Premium 377.88 3,027.50"
"IN04 0001 2345 6789 01/12/2024 Bonus Credit 42,505.84 45,533.34"
"IN04 0001 2345 6789 04/12/2024 Broadband Bill 1,225.36 44,307.98"
"IN04 0001 2345 6789 05/12/2024 DTH Recharge 4,476.35 39,831.63"
"IN04 0001 2345 6789 05/12/2024 Gas Bill 4,663.71 35,167.92"
"IN04 0001 2345 6789 05/12/2024 Spotify Premium 649.53 34,518.39"
"IN04 0001 2345 6789 06/12/2024 IMPS Transfer 20,391.14 14,127.25"
"IN04 0001 2345 6789 06/12/2024 PPF Contribution 871.35 13,255.90"
"IN04 0001 2345 6789 07/12/2024 Netflix Subscription 1,471.84 11,784.06"
"IN04 0001 2345 6789 07/12/2024 IMPS Transfer 729.93 11,054.13"
"IN04 0001 2345 6789 09/12/2024 Health Insurance 699.77 10,354.36"
"IN04 0001 2345 6789 09/12/2024 UPI Received 6,986.38 3,367.98"
"IN04 0001 2345 6789 09/12/2024 UPI Received 184.40 3,183.58"
"IN04 0001 2345 6789 11/12/2024 Restaurant Bill 839.14 2,344.44"
"IN04 0001 2345 6789 12/12/2024 Hotel Booking 274.47 2,069.97"
"IN04 0001 2345 6789 13/12/2024 Insurance Premium 212.05 1,857.92"
"IN04 0001 2345 6789 13/12/2024 Rental Income 79,859.22 81,717.14"
"IN04 0001 2345 6789 13/12/2024 PPF Contribution 19,152.83 62,564.31"
"IN04 0001 2345 6789 14/12/2024 PPF Contribution 17,445.19 45,119.12"
"IN04 0001 2345 6789 15/12/2024 Cash Deposit 12,396.49 32,722.63"
"IN04 0001 2345 6789 15/12/2024 Uber Ride 873.07 31,849.56"
"IN04 0001 2345 6789 16/12/2024 Fuel - HPCL 2,324.96 29,524.60"
"IN04 0001 2345 6789 16/12/2024 Mobile Recharge 1,066.03 28,458.57"
"IN04 0001 2345 6789 17/12/2024 Prime Video 587.67 27,870.90"
"IN04 0001 2345 6789 17/12/2024 Cashback Credit 1,474.56 29,345.46"
"IN04 0001 2345 6789 17/12/2024 NEFT Inward 15,311.83 14,033.63"
"IN04 0001 2345 6789 18/12/2024 EMI Debit 9,423.13 4,610.50"
"IN04 0001 2345 6789 18/12/2024 Pharmacy Purchase 324.58 4,285.92"
"IN04 0001 2345 6789 19/12/2024 Broadband Bill 398.80 3,887.12"
"IN04 0001 2345 6789 19/12/2024 Car Insurance 336.63 3,550.49"
"IN04 0001 2345 6789 20/12/2024 Meesho 232.99 3,317.50"
"IN04 0001 2345 6789 22/12/2024 ATM Withdrawal 1,523.58 1,793.92"
"IN04 0001 2345 6789 23/12/2024 Prime Video 239.86 1,554.06"
"IN04 0001 2345 6789 23/12/2024 EMI Debit 1,150.26 403.80"
"IN04 0001 2345 6789 23/12/2024 Freelance Payment 35,518.06 35,921.86"
"IN04 0001 2345 6789 24/12/2024 Stock Purchase 1,860.67 34,061.19"
"IN04 0001 2345 6789 24/12/2024 Pharmacy Purchase 18,167.95 15,893.24"
"IN04 0001 2345 6789 24/12/2024 Meesho 3,636.86 12,256.38"
"IN04 0001 2345 6789 26/12/2024 Hotel Booking 629.72 11,626.66"
"IN04 0001 2345 6789 27/12/2024 Loan Repayment 6,403.04 5,223.62"
"IN04 0001 2345 6789 27/12/2024 Broadband Bill 1,327.32 3,896.30"
"IN04 0001 2345 6789 27/12/2024 Grocery - BigBasket 1,454.47 2,441.83"
"IN04 0001 2345 6789 29/12/2024 Gym Membership 235.32 2,206.51"
"IN04 0001 2345 6789 29/12/2024 Stock Purchase 209.25 1,997.26"
"IN04 0001 2345 6789 30/12/2024 EMI Debit 248.78 1,748.48"
"IN04 0001 2345 6789 31/12/2024 Mobile Recharge 118.73 1,629.75"
IN04 0001 2345 6789 31/12/2024 BookMyShow 894.46 735.29
"IN04 0002 3456 7890 01/01/2024 DTH Recharge 4,295.12 124,204.88"
"IN04 0002 3456 7890 02/01/2024 Term Plan 7,971.57 116,233.31"
"IN04 0002 3456 7890 02/01/2024 Mall Shopping 10,104.99 106,128.32"
"IN04 0002 3456 7890 02/01/2024 Water Bill 2,439.53 103,688.79"
"IN04 0002 3456 7890 03/01/2024 Grocery - BigBasket 1,008.25 102,680.54"
"IN04 0002 3456 7890 04/01/2024 Loan Repayment 28,667.01 74,013.53"
"IN04 0002 3456 7890 04/01/2024 Health Insurance 14,485.36 59,528.17"
"IN04 0002 3456 7890 04/01/2024 Grocery - BigBasket 1,661.91 57,866.26"
"IN04 0002 3456 7890 05/01/2024 Swiggy Order 1,206.26 56,660.00"
"IN04 0002 3456 7890 06/01/2024 Bus Booking 27,716.25 28,943.75"
"IN04 0002 3456 7890 07/01/2024 Mobile Recharge 993.83 27,949.92"
"IN04 0002 3456 7890 07/01/2024 Lab Test 12,331.05 15,618.87"
"IN04 0002 3456 7890 08/01/2024 Internet Bill 850.61 14,768.26"
"IN04 0002 3456 7890 09/01/2024 Bus Booking 892.31 13,875.95"
"IN04 0002 3456 7890 09/01/2024 Credit Card Payment 848.55 13,027.40"
"IN04 0002 3456 7890 11/01/2024 Rental Income 10,857.70 23,885.10"
"IN04 0002 3456 7890 11/01/2024 UPI Payment 2,657.97 21,227.13"
"IN04 0002 3456 7890 11/01/2024 Freelance Payment 47,952.63 69,179.76"
"IN04 0002 3456 7890 12/01/2024 Gas Bill 4,286.98 64,892.78"
"IN04 0002 3456 7890 13/01/2024 Flipkart Order 10,810.39 54,082.39"
"IN04 0002 3456 7890 13/01/2024 Mutual Fund SIP 2,798.76 51,283.63"
"IN04 0002 3456 7890 13/01/2024 Restaurant Bill 399.31 50,884.32"
"IN04 0002 3456 7890 14/01/2024 PPF Contribution 3,357.97 47,526.35"
"IN04 0002 3456 7890 14/01/2024 FD Opening 36,302.36 11,223.99"
"IN04 0002 3456 7890 14/01/2024 IRCTC Ticket 712.90 10,511.09"
"IN04 0002 3456 7890 17/01/2024 Netflix Subscription 857.17 9,653.92"
"IN04 0002 3456 7890 17/01/2024 Swiggy Order 2,466.45 7,187.47"
"IN04 0002 3456 7890 17/01/2024 Mutual Fund SIP 403.57 6,783.90"
"IN04 0002 3456 7890 18/01/2024 Credit Card Payment 471.91 6,311.99"
"IN04 0002 3456 7890 19/01/2024 Prime Video 727.40 5,584.59"
"IN04 0002 3456 7890 19/01/2024 GST Refund 1,909.45 7,494.04"
"IN04 0002 3456 7890 19/01/2024 ATM Withdrawal 450.78 7,043.26"
"IN04 0002 3456 7890 20/01/2024 Bonus Credit 44,663.19 51,706.45"
"IN04 0002 3456 7890 21/01/2024 Insurance Premium 11,464.60 40,241.85"
"IN04 0002 3456 7890 22/01/2024 PPF Contribution 21,494.34 18,747.51"
"IN04 0002 3456 7890 22/01/2024 Hotel Booking 7,651.11 11,096.40"
"IN04 0002 3456 7890 23/01/2024 Gas Bill 1,023.55 10,072.85"
"IN04 0002 3456 7890 23/01/2024 Refund - Amazon 209.48 10,282.33"
"IN04 0002 3456 7890 24/01/2024 UPI Payment 9,778.52 20,060.85"
"IN04 0002 3456 7890 24/01/2024 UPI Payment 1,178.76 18,882.09"
"IN04 0002 3456 7890 24/01/2024 Ola Ride 1,236.68 17,645.41"
"IN04 0002 3456 7890 25/01/2024 Freelance Payment 61,578.93 79,224.34"
"IN04 0002 3456 7890 27/01/2024 Rental Income 22,562.11 101,786.45"
"IN04 0002 3456 7890 28/01/2024 NEFT Inward 30,947.02 70,839.43"
"IN04 0002 3456 7890 28/01/2024 Fuel - HPCL 2,634.96 68,204.47"
"IN04 0002 3456 7890 29/01/2024 IRCTC Ticket 8,472.07 59,732.40"
"IN04 0002 3456 7890 30/01/2024 Cash Deposit 11,339.09 48,393.31"
"IN04 0002 3456 7890 01/02/2024 Cash Deposit 15,823.19 32,570.12"
"IN04 0002 3456 7890 01/02/2024 Prime Video 670.97 31,899.15"
"IN04 0002 3456 7890 02/02/2024 Hotel Booking 22,706.16 9,192.99"
"IN04 0002 3456 7890 02/02/2024 Stock Purchase 526.79 8,666.20"
"IN04 0002 3456 7890 03/02/2024 Loan Repayment 550.16 8,116.04"
"IN04 0002 3456 7890 04/02/2024 Dividend Credit 15,056.96 23,173.00"
"IN04 0002 3456 7890 04/02/2024 Fuel - HPCL 649.84 22,523.16"
"IN04 0002 3456 7890 04/02/2024 ATM Withdrawal 1,297.11 21,226.05"
"IN04 0002 3456 7890 06/02/2024 Grocery - BigBasket 992.75 20,233.30"
"IN04 0002 3456 7890 09/02/2024 Credit Card Payment 1,127.85 19,105.45"
"IN04 0002 3456 7890 10/02/2024 Fuel - HPCL 944.40 18,161.05"
"IN04 0002 3456 7890 10/02/2024 Refund - Amazon 1,098.45 19,259.50"
"IN04 0002 3456 7890 10/02/2024 Ola Ride 2,253.29 17,006.21"
"IN04 0002 3456 7890 11/02/2024 Refund - Flipkart 3,493.35 20,499.56"
"IN04 0002 3456 7890 11/02/2024 Mobile Recharge 654.68 19,844.88"
"IN04 0002 3456 7890 11/02/2024 Bus Pass 998.76 18,846.12"
"IN04 0002 3456 7890 12/02/2024 Airport Cab 1,020.57 17,825.55"
"IN04 0002 3456 7890 12/02/2024 Lab Test 10,305.05 7,520.50"
"IN04 0002 3456 7890 13/02/2024 Mutual Fund SIP 523.28 6,997.22"
"IN04 0002 3456 7890 13/02/2024 Loan Repayment 430.29 6,566.93"
"IN04 0002 3456 7890 13/02/2024 Flight Ticket - IndiGo 380.39 6,186.54"
"IN04 0002 3456 7890 14/02/2024 Grocery - BigBasket 1,419.01 4,767.53"
"IN04 0002 3456 7890 15/02/2024 Hospital Bill 292.08 4,475.45"
"IN04 0002 3456 7890 15/02/2024 NEFT Outward 363.89 4,111.56"
"IN04 0002 3456 7890 15/02/2024 Gym Membership 337.50 3,774.06"
"IN04 0002 3456 7890 16/02/2024 Stock Purchase 265.62 3,508.44"
"IN04 0002 3456 7890 16/02/2024 DTH Recharge 2,492.75 1,015.69"
"IN04 0002 3456 7890 16/02/2024 Refund - Amazon 2,643.52 3,659.21"
"IN04 0002 3456 7890 20/02/2024 Water Bill 433.04 3,226.17"
"IN04 0002 3456 7890 20/02/2024 Electricity Bill 1,171.73 2,054.44"
"IN04 0002 3456 7890 20/02/2024 FD Opening 233.89 1,820.55"
"IN04 0002 3456 7890 21/02/2024 Cash Deposit 806.77 1,013.78"
"IN04 0002 3456 7890 21/02/2024 Dividend Credit 35,850.39 36,864.17"
"IN04 0002 3456 7890 21/02/2024 Cafe Coffee Day 1,827.71 35,036.46"
"IN04 0002 3456 7890 22/02/2024 Cafe Coffee Day 2,047.84 32,988.62"
"IN04 0002 3456 7890 22/02/2024 Cash Deposit 16,220.27 16,768.35"
"IN04 0002 3456 7890 23/02/2024 Amazon Purchase 7,960.90 8,807.45"
"IN04 0002 3456 7890 24/02/2024 Bus Pass 1,603.05 7,204.40"
"IN04 0002 3456 7890 25/02/2024 Gym Membership 1,672.48 5,531.92"
"IN04 0002 3456 7890 25/02/2024 Airport Cab 474.74 5,057.18"
"IN04 0002 3456 7890 26/02/2024 Pharmacy Purchase 425.92 4,631.26"
"IN04 0002 3456 7890 29/02/2024 Airport Cab 252.22 4,379.04"
"IN04 0002 3456 7890 29/02/2024 Zomato Order 280.10 4,098.94"
"IN04 0002 3456 7890 29/02/2024 Term Plan 277.89 3,821.05"
"IN04 0002 3456 7890 03/03/2024 Bus Pass 1,452.73 2,368.32"
"IN04 0002 3456 7890 06/03/2024 Refund - Amazon 937.80 3,306.12"
"IN04 0002 3456 7890 06/03/2024 Car Insurance 727.04 2,579.08"
"IN04 0002 3456 7890 07/03/2024 NEFT Outward 214.63 2,364.45"
"IN04 0002 3456 7890 09/03/2024 DTH Recharge 1,278.31 1,086.14"
IN04 0002 3456 7890 09/03/2024 Term Plan 167.01 919.13
IN04 0002 3456 7890 10/03/2024 Credit Card Payment 243.77 675.36
IN04 0002 3456 7890 10/03/2024 Mobile Recharge 228.89 446.47
IN04 0002 3456 7890 10/03/2024 Swiggy Order 191.67 254.80
"IN04 0002 3456 7890 11/03/2024 NEFT Inward 38,203.36 38,458.16"
"IN04 0002 3456 7890 11/03/2024 Loan Repayment 1,859.14 36,599.02"
"IN04 0002 3456 7890 12/03/2024 Loan Repayment 15,227.50 21,371.52"
"IN04 0002 3456 7890 12/03/2024 Hotstar 1,417.54 19,953.98"
"IN04 0002 3456 7890 13/03/2024 DTH Recharge 3,337.29 16,616.69"
"IN04 0002 3456 7890 13/03/2024 Meesho 4,571.62 12,045.07"
"IN04 0002 3456 7890 13/03/2024 Ola Ride 292.01 11,753.06"
"IN04 0002 3456 7890 14/03/2024 Hotel Booking 657.82 11,095.24"
"IN04 0002 3456 7890 18/03/2024 FD Opening 584.19 10,511.05"
"IN04 0002 3456 7890 18/03/2024 Flipkart Order 6,578.50 3,932.55"
"IN04 0002 3456 7890 19/03/2024 Amazon Purchase 1,526.36 2,406.19"
"IN04 0002 3456 7890 19/03/2024 Salary Credit 49,769.34 52,175.53"
"IN04 0002 3456 7890 19/03/2024 Loan Repayment 26,047.83 26,127.70"
"IN04 0002 3456 7890 21/03/2024 Airport Cab 1,454.11 24,673.59"
"IN04 0002 3456 7890 21/03/2024 Freelance Payment 47,897.03 72,570.62"
"IN04 0002 3456 7890 22/03/2024 Cash Deposit 3,805.28 68,765.34"
"IN04 0002 3456 7890 23/03/2024 Lab Test 9,913.17 58,852.17"
